time,open,high,low,close,Volume
1669732200,18.02,18.251,17.56389,18.2,5439660
1669818600,18.92,19.832,18.1,19.809,6612090
1669905000,19.719,20.6531,19.6,19.898,4235790
1669991400,19.568,21.149,19.5342,20.694,5933160
1670250600,20.85,21.073,18.725,19.567,7714380
1670337000,19.46,19.784,18.739,19.552,3850100
1670423400,19.261,19.897,19.028,19.349,2965340
1670509800,19.45,20.32705,19.023,20.257,3168970
1670596200,20.101,20.348,19.6421,20.325,4064450
1670855400,19.9,20.0485,19.47901,19.616,4076850
1670941800,20.645,21.184,19.552,20.181,4386090
1671028200,20.3,21.37799,20.191,20.273,5290560
1671114600,19.75,19.901,18.6,18.8,4411060
1671201000,18.376,18.564,17.233,17.375,7227350
1671460200,17.231,17.884,16.838,17.021,3684250
1671546600,17.037,17.543,16.7995,16.885,3059410
1671633000,16.901,17.2065,16.664,16.882,2184210
1671719400,16.83,16.83,16.092,16.623,4333190
1671805800,16.554,16.759,16.054,16.267,2859220
1672151400,16.0,16.007,14.568,14.774,7128000
1672237800,14.7,15.109,13.7905,13.809,6919960
1672324200,13.89,14.3,13.377,13.663,7156660
1672410600,13.382,14.209,13.256,14.157,7033920
1672756200,14.567,14.652,13.938,14.502,6283090
1672842600,14.68,16.5695,14.59,16.506,10103000
1672929000,16.054,16.054,14.977,15.656,4091780
1673015400,15.261,16.189,14.71,16.045,4929030
1673274600,17.0,18.187,16.54,17.501,7146340
1673361000,17.435,19.097,16.9995,19.0,6523910
1673447400,18.9,19.645,18.411,19.476,6658680
1673533800,20.365,21.343,18.931,21.017,9960060
1673620200,20.6,22.217,20.2695,21.697,8456590
1673965800,23.2,23.967,22.275,23.592,10863050
1674052200,23.7,24.203,20.962,22.119,11377710
1674138600,21.677,22.78699,21.449,22.145,4942090
1674225000,22.419,24.187,21.903,24.003,7299350
1674484200,24.095,25.05,23.5765,25.0215,7275510
1674570600,24.7,25.102,24.185,24.75,3157090
1674657000,24.04,24.7523,23.215,24.584,3746450
1674743400,25.303,25.499,23.699,24.532,4122960
1674829800,24.0,26.21,24.0,25.836,6292430
1675089000,25.235,25.885,23.942,24.569,5340370
1675175400,24.9,25.776,24.8,25.173,3787770
1675261800,25.1,27.36,24.425,26.792,6554390
1675348200,27.5,30.28999,27.486,29.213,10414570
1675434600,27.911,30.34,27.83829,28.476,6303410
1675693800,27.431,28.62299,27.11621,28.205,4206170
1675780200,27.975,28.733,27.03801,28.387,5013380
1675866600,28.243,29.04085,27.166,27.596,3155670
1675953000,27.601,27.761,24.558,24.904,7268130
1676039400,24.6,25.259,24.101,24.337,4362360
1676298600,23.903,25.065,23.65415,24.925,2894020
1676385000,25.102,27.678,24.40005,27.114,6728240
1676471400,27.558,29.973,27.20901,29.84,7142870
1676557800,29.6,31.5,28.284,28.403,9707410
1676644200,28.329,29.741,27.385,29.405,5529080
1676989800,28.624,29.074,26.754,26.992,5714610
1677076200,26.638,27.348,26.244,26.858,4214390
1677162600,27.095,27.559,26.159,26.575,3014980
1677249000,26.142,26.205,24.887,25.58,5035390
1677508200,26.359,26.971,25.58279,25.865,3494180
1677594600,25.979,26.975,25.604,26.227,4006030
1677681000,26.388,26.8549,25.334,25.791,3452190
1677767400,24.899,25.38699,24.167,25.289,4928470
1677853800,24.02,25.2335,23.685,24.691,7603800
1678113000,24.935,25.204,23.705,23.745,4770120
1678199400,23.6,24.1,23.093,23.144,4935570
1678285800,23.04,23.494,22.7,23.272,4701420
1678372200,23.035,23.143,21.011,21.082,8241850
1678458600,20.575,20.758,18.83,19.201,13303190
1678714200,20.202,22.962,19.635,22.316,15329550
1678800600,23.908,24.441,22.209,22.947,11303530
1678887000,22.7,23.498,21.653,22.755,6895420
1678973400,22.518,24.51077,22.327,24.108,7700610
1679059800,25.553,27.4,24.901,26.766,20223820
1679319000,28.043,28.173,25.837,26.396,12524220
1679405400,26.899,27.89299,26.06501,27.338,8810990
1679491800,27.6,27.80914,24.601,24.686,11129510
1679578200,24.901,27.1,24.804,26.333,11249500
1679664600,25.914,26.34799,24.731,25.667,6569940
1679923800,25.986,26.02103,23.072,23.896,11330900
1680010200,23.677,24.8535,23.25,24.826,6721260
1680096600,25.78,28.542,25.545,28.403,10108520
1680183000,28.79,28.85,27.457,27.923,7080720
1680269400,28.346,29.53995,28.0,29.232,10379820
1680528600,29.099,30.09999,28.816,29.739,7653750
1680615000,29.958,30.136,28.57429,29.898,6234570
1680701400,30.345,30.7,28.351,29.084,8123880
1680787800,28.651,29.548,27.837,29.01,4261230
1681133400,29.0,31.294,28.5,31.278,10025750
1681219800,32.191,33.782,31.8095,33.235,14267460
1681306200,33.425,33.5745,31.83401,32.283,8812480
1681392600,33.042,34.5,32.7,34.072,11131720
1681479000,34.285,34.763,32.461,33.375,8720870
1681738200,32.173,32.247,31.22,31.303,7702240
1681824600,32.5,33.4,32.4,32.985,10000520
1681911000,31.988,32.19909,31.29,31.472,6234660
1681997400,31.027,31.29,29.227,29.471,8256390
1682083800,29.734,30.05,28.774,29.102,6576180
1682343000,29.103,29.79532,28.3,28.533,5676380
1682429400,28.236,29.689,28.015,29.091,5699510
1682515800,31.05,32.164,29.63,29.946,10820420
1682602200,30.651,31.888,29.60101,31.864,10165150
1682688600,31.304,32.898,30.809,32.838,7607300
1682947800,32.0,32.33591,30.42361,30.747,9055130
1683034200,31.014,33.29265,30.513,32.801,13733020
1683120600,32.049,32.189,30.168,30.425,11930080
1683207000,31.115,32.119,30.75,31.2235,7150600
1683293400,31.3,32.87199,31.2,32.672,9082140
1683552600,31.115,31.1745,29.4,29.467,10429910
1683639000,29.751,31.0,28.963,30.343,7220480
1683725400,31.324,32.565,30.5,31.511,12951620
1683811800,31.135,31.135,28.476,28.737,15422380
1683898200,28.49,28.659,26.651,27.1,10850520
1684157400,28.0,28.688,27.6,28.25,6507190
1684243800,27.75,28.29999,27.23713,27.344,4653910
1684330200,27.149,29.105,26.92603,29.057,6113140
1684416600,28.9,29.721,28.00112,28.758,6696310
1684503000,29.09,29.196,28.2575,28.828,3731810
1684762200,28.778,29.706,28.602,29.412,5910290
1684848600,29.919,30.12,28.826,28.933,6432840
1684935000,28.2,28.69479,27.663,28.443,8064370
1685021400,28.791,28.884,27.285,28.099,8783670
1685107800,27.98,29.489,27.92,28.51,6549840
1685453400,30.01,31.364,29.675,29.927,9466350
1685539800,29.401,30.277,28.9,30.163,6233890
1685626200,29.85,30.7725,29.56418,29.994,5488980
1685712600,30.527,30.6,29.064,30.213,7264640
1685971800,29.447,29.696,27.12,27.636,14040080
1686058200,27.0,30.4565,26.655,29.882,18779480
1686144600,29.882,30.227,28.8,29.081,6755490
1686231000,28.969,29.7244,28.357,29.093,4855700
1686317400,29.35,29.576,28.0505,28.233,5678550
1686576600,27.9125,28.166,27.5,27.77,3715460
1686663000,28.43,28.488,27.495,28.382,4436330
1686749400,28.411,28.615,27.673,28.288,3997060
1686835800,27.415,28.138,26.6,27.792,7857330
1686922200,28.499,29.8,28.096,29.339,14232820
1687267800,30.0,31.518,28.969,31.34,18939290
1687354200,32.4,33.8,32.031,33.131,19270040
1687440600,33.249,33.745,31.313,32.723,11363630
1687527000,32.7,33.7,31.73,32.911,15618860
1687786200,32.4,32.86,30.1085,30.574,11272830
1687872600,31.23,32.799,31.1527,32.488,8773320
1687959000,31.991,33.28099,31.845,32.561,6590810
1688045400,33.564,34.07867,32.85,34.0255,8574150
1688131800,34.997,35.275,32.226,34.242,15255080
1688391000,34.7,37.827,34.599,37.784,11065030
1688563800,36.701,38.29899,35.90958,37.811,11868040
1688650200,38.059,38.501,36.2,37.655,8927160
1688736600,37.359,39.2,37.359,38.074,9417660
1688995800,38.117,40.801,37.00466,40.771,9976080
1689082200,40.1,41.5,39.692,41.23,12049000
1689168600,41.8,42.098,40.524,41.349,9236360
1689255000,41.8,46.699,41.278,46.183,20782770
1689341400,45.546,47.50916,44.718,45.886,17243520
1689600600,45.7195,46.7,44.435,44.988,8633140
1689687000,44.948,45.4,43.5,44.5795,7836350
